Ensembl Gene ID	Ensembl Transcript ID	RefSeq mRNA [e.g. NM_001195597]
ENSG00000084676	ENST00000395856	NM_147233
ENSG00000177465	ENST00000326303	NM_152331
ENSG00000165379	ENST00000298119	NM_152447
ENSG00000166069	ENST00000319669	NM_152453
ENSG00000163564	ENST00000368140	NM_152501
ENSG00000189079	ENST00000334344	NM_152641
ENSG00000139263	ENST00000320743	NM_153377
ENSG00000171487	ENST00000390649	NM_153447
ENSG00000119772	ENST00000380746	NM_153759
ENSG00000137812	ENST00000346991	NM_170589
ENSG00000055609	ENST00000262189	NM_170606
ENSG00000114423	ENST00000264122	NM_170662
ENSG00000104313	ENST00000388742	NM_172058
ENSG00000104313	ENST00000419131	NM_172059
ENSG00000104313	ENST00000388740	NM_172060
ENSG00000281151	ENST00000628790	NM_172106
ENSG00000075043	ENST00000626839	NM_172106
ENSG00000281151	ENST00000627948	NM_172107
ENSG00000075043	ENST00000359125	NM_172107
ENSG00000281151	ENST00000626962	NM_172108
ENSG00000075043	ENST00000344462	NM_172108
ENSG00000281151	ENST00000630648	NM_172109
ENSG00000075043	ENST00000344425	NM_172109
ENSG00000165671	ENST00000354179	NM_172349
ENSG00000119772	ENST00000264709	NM_175629
ENSG00000184507	ENST00000614490	NM_175741
ENSG00000133687	ENST00000256062	NM_175861
ENSG00000100697	ENST00000343455	NM_177438
ENSG00000104723	ENST00000382020	NM_178234
ENSG00000196734	ENST00000360090	NM_178349
ENSG00000170820	ENST00000304421	NM_181446
ENSG00000135903	ENST00000350526	NM_181457
ENSG00000135903	ENST00000392070	NM_181458
ENSG00000135903	ENST00000392069	NM_181459
ENSG00000135903	ENST00000336840	NM_181460
ENSG00000135903	ENST00000344493	NM_181461
ENSG00000257923	ENST00000622516	NM_181500
ENSG00000257923	ENST00000292535	NM_181552
ENSG00000182348	ENST00000333190	NM_181646
ENSG00000163012	ENST00000295131	NM_182521
ENSG00000170396	ENST00000302277	NM_194250
ENSG00000164362	ENST00000310581	NM_198253
ENSG00000188176	ENST00000338859	NM_198501
ENSG00000162687	ENST00000294725	NM_198503
ENSG00000163564	ENST00000368138	NM_198928
ENSG00000163564	ENST00000392254	NM_198929
ENSG00000163564	ENST00000392252	NM_198930
ENSG00000126259	ENST00000347900	NM_199179
ENSG00000126259	ENST00000360202	NM_199180
ENSG00000132958	ENST00000400230	NM_199254
ENSG00000137509	ENST00000393399	NM_199418
ENSG00000134376	ENST00000367400	NM_201253
ENSG00000146648	ENST00000342916	NM_201282
ENSG00000146648	ENST00000344576	NM_201284
ENSG00000264343	ENST00000362074	NM_203458
ENSG00000151348	ENST00000533608	NM_207122
ENSG00000115414	ENST00000357867	NM_212474
ENSG00000115414	ENST00000356005	NM_212476
ENSG00000115414	ENST00000446046	NM_212478
ENSG00000115414	ENST00000354785	NM_212482
ENSG00000136160	ENST00000334286	NM_000115
ENSG00000068078	ENST00000440486	NM_000142
ENSG00000197535	ENST00000399231	NM_000259
ENSG00000185920	ENST00000331920	NM_000264
ENSG00000157388	ENST00000288139	NM_000720
ENSG00000178104	ENST00000313431	NM_001002811
ENSG00000178104	ENST00000369349	NM_001002812
ENSG00000198601	ENST00000359682	NM_001004688
ENSG00000009307	ENST00000358528	NM_001007553
ENSG00000160201	ENST00000380276	NM_001025203
ENSG00000160201	ENST00000398137	NM_001025204
ENSG00000196104	ENST00000357545	NM_001040159
ENSG00000083799	ENST00000569418	NM_001042355
ENSG00000083799	ENST00000398568	NM_001042412
ENSG00000185920	ENST00000437951	NM_001083602
ENSG00000185920	ENST00000375274	NM_001083603
ENSG00000185920	ENST00000421141	NM_001083604
ENSG00000185920	ENST00000421141	NM_001083605
ENSG00000185920	ENST00000429896	NM_001083606
ENSG00000185920	ENST00000418258	NM_001083607
ENSG00000083168	ENST00000396930	NM_001099412
ENSG00000083168	ENST00000406337	NM_001099413
ENSG00000106034	ENST00000450913	NM_001105533
ENSG00000136160	ENST00000334286	NM_001122659
ENSG00000157388	ENST00000422281	NM_001128839
ENSG00000157388	ENST00000350061	NM_001128840
ENSG00000009307	ENST00000369530	NM_001130523
ENSG00000145216	ENST00000358575	NM_001134937
ENSG00000145216	ENST00000306932	NM_001134938
ENSG00000145819	ENST00000378004	NM_001135608
ENSG00000197535	ENST00000356338	NM_001142495
ENSG00000126012	ENST00000452825	NM_001146702
ENSG00000171302	ENST00000591773	NM_001159772
ENSG00000171302	ENST00000302345	NM_001159773
ENSG00000068078	ENST00000340107	NM_001163213
ENSG00000188191	ENST00000403562	NM_001164758
ENSG00000188191	ENST00000544935	NM_001164759
ENSG00000188191	ENST00000537384	NM_001164760
ENSG00000188191	ENST00000406797	NM_001164761
ENSG00000188191	ENST00000544935	NM_001164762
ENSG00000170381	ENST00000427262	NM_001178129
ENSG00000178104	ENST00000618462	NM_001198832
ENSG00000178104	ENST00000369356	NM_001198834
ENSG00000136160	ENST00000377211	NM_001201397
ENSG00000196104	ENST00000421836	NM_001204352
ENSG00000196104	ENST00000535728	NM_001204354
ENSG00000196104	ENST00000510741	NM_001204356
ENSG00000196104	ENST00000512648	NM_001204358
ENSG00000102900	ENST00000564887	NM_001242795
ENSG00000102900	ENST00000542526	NM_001242796
ENSG00000009307	ENST00000610726	NM_001242891
ENSG00000009307	ENST00000534699	NM_001242892
ENSG00000009307	ENST00000261443	NM_001242893
ENSG00000173821	ENST00000582970	NM_001256071
ENSG00000126012	ENST00000404049	NM_001282622
ENSG00000156096	ENST00000512583	NM_001297615
ENSG00000100393	ENST00000263253	NM_001429
ENSG00000188191	ENST00000360274	NM_002735
ENSG00000136160	ENST00000626030	NM_003991
ENSG00000126012	ENST00000375401	NM_004187
ENSG00000100815	ENST00000267622	NM_004239
ENSG00000171094	ENST00000389048	NM_004304
ENSG00000154928	ENST00000398015	NM_004441
ENSG00000137509	ENST00000313010	NM_005040
ENSG00000134640	ENST00000257068	NM_005959
ENSG00000078674	ENST00000325083	NM_006197
ENSG00000160201	ENST00000291552	NM_006758
ENSG00000083168	ENST00000265713	NM_006766
ENSG00000009307	ENST00000339438	NM_007158
ENSG00000170381	ENST00000307792	NM_012431
ENSG00000115524	ENST00000335508	NM_012433
ENSG00000178104	ENST00000369354	NM_014644
ENSG00000102900	ENST00000308159	NM_014669
ENSG00000145819	ENST00000274498	NM_015071
ENSG00000083799	ENST00000311559	NM_015247
ENSG00000171456	ENST00000375687	NM_015338
ENSG00000196104	ENST00000357154	NM_016950
ENSG00000100285	ENST00000310624	NM_021076
ENSG00000156096	ENST00000305107	NM_021139
ENSG00000068078	ENST00000412135	NM_022965
ENSG00000106034	ENST00000310396	NM_024913
ENSG00000145216	ENST00000337488	NM_030917
ENSG00000171302	ENST00000302345	NM_138793
ENSG00000198739	ENST00000361320	NM_178011
ENSG00000137509	ENST00000393399	NM_199418
